provider,pattern,metric,n,baseline_mean,pattern_mean,delta_mean,improvement_mean,positive_count,negative_count,zero_count,non_effective_rate
anthropic,branch,internal_coherence_error_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,branch,irp_monotonic_progress_rate,18,0.037037037037037035,0.0308641975308642,-0.006172839506172839,-0.006172839506172839,0,1,17,0.9444444444444444
anthropic,branch,irp_oscillation_rate,18,0.041666666666666664,0.034722222222222224,-0.006944444444444444,0.006944444444444444,1,0,17,0.9444444444444444
anthropic,branch,misinterpretation_rate,18,0.03333333333333334,0.027777777777777776,-0.005555555555555556,0.005555555555555556,1,0,17,0.9444444444444444
anthropic,branch,rework_cost_tokens,18,77.61111111111111,65.44444444444444,-12.166666666666666,12.166666666666666,2,3,13,0.7222222222222222
anthropic,branch,self_contradiction_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,branch,stability_variance,18,0.00666666666666667,0.0055555555555555575,-0.0011111111111111115,0.0011111111111111115,1,0,17,0.9444444444444444
anthropic,branch,trace_completeness,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,branch,update_consistency,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,conditional,internal_coherence_error_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,conditional,irp_monotonic_progress_rate,18,0.037037037037037035,0.006172839506172839,-0.0308641975308642,-0.0308641975308642,0,5,13,0.7222222222222222
anthropic,conditional,irp_oscillation_rate,18,0.041666666666666664,0.006944444444444444,-0.034722222222222224,0.034722222222222224,5,0,13,0.7222222222222222
anthropic,conditional,misinterpretation_rate,18,0.03333333333333334,0.005555555555555556,-0.027777777777777776,0.027777777777777776,5,0,13,0.7222222222222222
anthropic,conditional,rework_cost_tokens,18,77.33333333333333,13.222222222222221,-64.11111111111111,64.11111111111111,5,1,12,0.6666666666666666
anthropic,conditional,self_contradiction_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,conditional,stability_variance,18,0.00666666666666667,0.0011111111111111115,-0.0055555555555555575,0.0055555555555555575,5,0,13,0.7222222222222222
anthropic,conditional,trace_completeness,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,conditional,update_consistency,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,delta,internal_coherence_error_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,delta,irp_monotonic_progress_rate,18,0.037037037037037035,0.10052910052910052,0.06349206349206349,0.06349206349206349,4,0,14,0.7777777777777778
anthropic,delta,irp_oscillation_rate,18,0.041666666666666664,0.1527777777777778,0.1111111111111111,-0.1111111111111111,0,4,14,0.7777777777777778
anthropic,delta,misinterpretation_rate,18,0.03333333333333334,0.08888888888888889,0.05555555555555555,-0.05555555555555555,0,4,14,0.7777777777777778
anthropic,delta,rework_cost_tokens,18,76.94444444444444,183.38888888888889,106.44444444444444,-106.44444444444444,0,10,8,0.4444444444444444
anthropic,delta,self_contradiction_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,delta,stability_variance,18,0.00666666666666667,0.018095238095238098,0.011428571428571432,-0.011428571428571432,0,4,14,0.7777777777777778
anthropic,delta,trace_completeness,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,delta,update_consistency,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,hierarchical,internal_coherence_error_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,hierarchical,irp_monotonic_progress_rate,18,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,6,12,0.6666666666666666
anthropic,hierarchical,irp_oscillation_rate,18,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,6,0,12,0.6666666666666666
anthropic,hierarchical,misinterpretation_rate,18,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334,6,0,12,0.6666666666666666
anthropic,hierarchical,rework_cost_tokens,18,77.55555555555556,0.0,-77.55555555555556,77.55555555555556,6,0,12,0.6666666666666666
anthropic,hierarchical,self_contradiction_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,hierarchical,stability_variance,18,0.00666666666666667,0.0,-0.00666666666666667,0.00666666666666667,6,0,12,0.6666666666666666
anthropic,hierarchical,trace_completeness,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,hierarchical,update_consistency,18,1.0,1.0,0.0,0.0,0,0,18,1.0
anthropic,lazy,internal_coherence_error_rate,18,0.0,0.0,0.0,0.0,0,0,18,1.0
anthropic,lazy,irp_monotonic_progress_rate,18,0.037037037037037035,0.0,-0.037037037037037035,-0.037037037037037035,0,6,12,0.6666666666666666
anthropic,lazy,irp_oscillation_rate,18,0.041666666666666664,0.0,-0.041666666666666664,0.041666666666666664,6,0,12,0.6666666666666666
anthropic,lazy,misinterpretation_rate,18,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334,6,0,12,0.6666666666666666
anthropic,lazy,rework_cost_tokens,18,77.33333333333333,0.0,-77.33333333333333,77.33333333333333,6,0,12,0.6666666666666666
